customer_id,transaction_amount,category,merchant,age,gender,spend_tier,cluster,persona
1370,990.35,Electronics,richard hickman and werner,30,F,High,3,High Spend — Electronics
1374,181.37,Clothing,ortega llc,21,M,Low,1,Low Spend — Market
1396,124.98,Cosmetic,vega hernandez,60,F,Low,1,Low Spend — Market
1413,335.23,Electronics,smith fox and donovan,45,F,Mid,3,Mid Spend — Electronics
1463,93.23,Restaurant,blair inc,30,F,Low,0,Low Spend — Restaurant
1473,77.32,Restaurant,garcia watson,21,M,Low,0,Low Spend — Restaurant
1550,150.97,Cosmetic,walker group,55,M,Low,1,Low Spend — Market
1606,829.02,Electronics,cook mcmahon and cervantes,76,Unknown,High,3,High Spend — Electronics
1617,849.93,Travel,salazar garcia and cook,29,F,High,2,High Spend — Travel
1630,118.26,Clothing,carey williams and mclaughlin,76,F,Low,1,Low Spend — Market
1665,117.89,Clothing,garza bennett and key,27,M,Low,1,Low Spend — Market
1704,445.21,Electronics,douglas ponce,25,M,Mid,3,Mid Spend — Electronics
1736,151.06,Cosmetic,ho clark and edwards,62,Unknown,Low,1,Low Spend — Market
1741,34.97,Market,gray blackwell and padilla,44,F,Low,1,Low Spend — Market
1742,108.64,Clothing,bennett ltd,41,F,Low,1,Low Spend — Market
1799,220.37,Clothing,walker bailey,40,F,Mid,1,Mid Spend — Market
1808,47.62,Market,lawrence king,64,F,Low,1,Low Spend — Market
1837,85.97,Cosmetic,wise robbins,75,F,Low,1,Low Spend — Market
1853,956.64,Electronics,ford davis and hill,77,F,High,3,High Spend — Electronics
1890,2555.69,Travel,livingston llc,23,F,Very High,2,Very High Spend — Travel
1900,71.66,Cosmetic,shah inc,23,F,Low,1,Low Spend — Market
1920,277.52,Market,woods wilcox,58,M,Mid,1,Mid Spend — Market
1942,435.86,Electronics,price morgan,32,Unknown,Mid,3,Mid Spend — Electronics
1965,208.48,Clothing,walker snyder,52,F,Mid,1,Mid Spend — Market
1985,182.65,Clothing,smith llc,36,F,Mid,1,Mid Spend — Market
1994,68.24,Cosmetic,smith ltd,54,F,Low,1,Low Spend — Market
1995,215.06,Market,wilson ramirez and hill,68,F,Mid,1,Mid Spend — Market
2008,39.27,Clothing,mclean ramsey,55,F,Low,1,Low Spend — Market
2034,71.89,Restaurant,sampson smith,38,F,Low,0,Low Spend — Restaurant
2037,1209.36,Travel,garcia martin and blair,41,M,High,2,High Spend — Travel
2063,417.48,Market,herrera bentley and lang,49,M,Mid,1,Mid Spend — Market
2117,55.63,Restaurant,williams thompson and gonzalez,66,F,Low,0,Low Spend — Restaurant
2128,299.94,Market,ward delgado,56,M,Mid,1,Mid Spend — Market
2136,354.83,Market,mata davis and campbell,47,F,Mid,1,Mid Spend — Market
2142,102.44,Clothing,maxwell bass and williams,23,M,Low,1,Low Spend — Market
2168,104.68,Clothing,galvan tran and payne,70,F,Low,1,Low Spend — Market
2190,84.8,Cosmetic,quinn cook and daniel,32,F,Low,1,Low Spend — Market
2195,44.48,Cosmetic,lopez cruz,37,F,Low,1,Low Spend — Market
2242,251.98,Electronics,stewart hayden and michael,20,Unknown,Mid,3,Mid Spend — Electronics
2244,792.61,Electronics,robertson drake and holland,60,M,High,3,High Spend — Electronics
2290,453.14,Market,watson ruiz and cole,71,Unknown,Mid,1,Mid Spend — Market
2293,231.19,Clothing,gonzalez llc,43,M,Mid,1,Mid Spend — Market
2411,224.84,Market,contreras smith,75,F,Mid,1,Mid Spend — Market
2417,61.39,Restaurant,brown williams,72,F,Low,0,Low Spend — Restaurant
2448,169.11,Clothing,meyer ali,69,M,Low,1,Low Spend — Market
2498,158.82,Clothing,mason clark,23,M,Low,1,Low Spend — Market
2512,15.63,Restaurant,young group,27,M,Low,0,Low Spend — Restaurant
2545,154.3,Cosmetic,johnson le,26,Unknown,Low,1,Low Spend — Market
2569,413.45,Market,brown ltd,32,F,Mid,1,Mid Spend — Market
2582,1767.99,Travel,horn plc,45,F,Very High,2,Very High Spend — Travel
2630,118.27,Electronics,porter plc,27,M,Low,3,Low Spend — Electronics
2631,817.32,Electronics,smith wilson,69,M,High,3,High Spend — Electronics
2637,49.64,Restaurant,macias moreno,31,F,Low,0,Low Spend — Restaurant
2644,109.73,Market,howard ltd,72,Unknown,Low,1,Low Spend — Market
2666,242.06,Clothing,sloan goodman and baker,62,F,Mid,1,Mid Spend — Market
2682,383.09,Electronics,rodriguez pham and rodriguez,38,M,Mid,3,Mid Spend — Electronics
2706,60.08,Restaurant,grant llc,73,Unknown,Low,0,Low Spend — Restaurant
2740,2020.95,Travel,mcgrath llc,58,M,Very High,2,Very High Spend — Travel
2779,73.9,Cosmetic,spears guzman,31,F,Low,1,Low Spend — Market
2784,72.58,Clothing,cook higgins and castillo,64,F,Low,1,Low Spend — Market
2791,135.89,Electronics,miller nelson,39,F,Low,3,Low Spend — Electronics
2795,691.08,Electronics,gray johnson and taylor,68,M,High,3,High Spend — Electronics
2838,188.13,Cosmetic,davis rojas,62,M,Mid,1,Mid Spend — Market
2870,2807.48,Travel,robinson smith and pollard,71,F,Very High,2,Very High Spend — Travel
2926,106.88,Clothing,jacobson weaver and rivera,77,Unknown,Low,1,Low Spend — Market
2928,81.58,Clothing,ruiz ltd,29,M,Low,1,Low Spend — Market
2931,46.5,Restaurant,davis and sons,41,F,Low,0,Low Spend — Restaurant
2961,276.64,Clothing,tucker herrera,47,M,Mid,1,Mid Spend — Market
2962,99.98,Clothing,wise llc,47,F,Low,1,Low Spend — Market
2999,86.06,Restaurant,anderson merritt,39,F,Low,0,Low Spend — Restaurant
3064,112.65,Market,lee gonzalez and smith,59,M,Low,1,Low Spend — Market
3079,1595.02,Travel,taylor kelly,24,M,Very High,2,Very High Spend — Travel
3117,24.96,Cosmetic,hensley morris and nelson,31,M,Low,1,Low Spend — Market
3156,24.96,Restaurant,wood garcia,30,F,Low,0,Low Spend — Restaurant
3176,1500.25,Travel,melton and sons,69,M,Very High,2,Very High Spend — Travel
3182,373.43,Market,reilly jarvis and reed,41,F,Mid,1,Mid Spend — Market
3197,99.39,Market,doyle miller,53,M,Low,1,Low Spend — Market
3258,344.37,Electronics,cowan plc,21,M,Mid,3,Mid Spend — Electronics
3268,194.26,Electronics,hodges carpenter,77,M,Mid,3,Mid Spend — Electronics
3279,88.29,Cosmetic,watkins lewis and reed,71,M,Low,1,Low Spend — Market
3339,1402.34,Travel,byrd inc,74,F,Very High,2,Very High Spend — Travel
3370,27.44,Clothing,valenzuela ltd,54,Unknown,Low,1,Low Spend — Market
3402,222.46,Clothing,johnson plc,60,F,Mid,1,Mid Spend — Market
3409,45.31,Cosmetic,smith and sons,20,F,Low,1,Low Spend — Market
3410,21.49,Restaurant,anderson smith and hoffman,53,M,Low,0,Low Spend — Restaurant
3433,357.31,Market,stuart llc,60,F,Mid,1,Mid Spend — Market
3444,419.25,Market,pham ltd,52,F,Mid,1,Mid Spend — Market
3530,216.72,Travel,smith simmons,76,F,Mid,2,Mid Spend — Travel
3535,99.78,Restaurant,strickland ltd,34,F,Low,0,Low Spend — Restaurant
3546,85.87,Cosmetic,lewis porter,43,M,Low,1,Low Spend — Market
3550,166.97,Market,adams phillips,45,M,Low,1,Low Spend — Market
3554,148.84,Market,ray taylor,70,F,Low,1,Low Spend — Market
3576,184.03,Cosmetic,rivera ltd,21,F,Mid,1,Mid Spend — Market
3604,20.04,Cosmetic,collins inc,71,Unknown,Low,1,Low Spend — Market
3608,11.88,Restaurant,frazier inc,23,F,Low,0,Low Spend — Restaurant
3612,2134.7,Travel,lee wells and cooper,20,M,Very High,2,Very High Spend — Travel
3613,319.17,Market,schultz castro and burnett,36,M,Mid,1,Mid Spend — Market
3649,87.6,Market,gonzalez inc,35,F,Low,1,Low Spend — Market
3673,276.96,Clothing,fox sanchez,47,Unknown,Mid,1,Mid Spend — Market
3674,59.1,Restaurant,villarreal bean,23,Unknown,Low,0,Low Spend — Restaurant
3720,1264.03,Travel,vazquez ltd,51,M,High,2,High Spend — Travel
3731,123.85,Clothing,krause santana and bowers,59,F,Low,1,Low Spend — Market
3739,105.68,Market,long peterson and boyd,38,F,Low,1,Low Spend — Market
3778,464.86,Market,lewis lawrence,60,M,Mid,1,Mid Spend — Market
3807,180.57,Cosmetic,lee huber and fernandez,60,F,Low,1,Low Spend — Market
3857,176.49,Clothing,trujillo coleman and martin,27,F,Low,1,Low Spend — Market
3898,121.28,Clothing,lyons herrera and miller,41,M,Low,1,Low Spend — Market
3899,626.83,Electronics,wells kennedy and evans,40,M,High,3,High Spend — Electronics
3969,119.54,Travel,shaffer rivera,31,F,Low,2,Low Spend — Travel
3974,584.13,Electronics,anderson reynolds and powell,62,M,High,3,High Spend — Electronics
3989,127.07,Clothing,cooke booker,54,M,Low,1,Low Spend — Market
4044,46.4,Restaurant,arnold group,64,F,Low,0,Low Spend — Restaurant
4052,397.61,Electronics,shepherd griffith,32,F,Mid,3,Mid Spend — Electronics
4063,109.38,Market,blake llc,31,M,Low,1,Low Spend — Market
4125,164.15,Clothing,young lee,22,F,Low,1,Low Spend — Market
4134,273.98,Electronics,leonard gordon,47,M,Mid,3,Mid Spend — Electronics
4198,75.34,Restaurant,garcia inc,24,M,Low,0,Low Spend — Restaurant
4201,68.7,Clothing,collins gallegos and bailey,21,M,Low,1,Low Spend — Market
4202,1069.15,Travel,armstrong ltd,33,F,High,2,High Spend — Travel
4253,547.86,Travel,allen ltd,28,M,High,2,High Spend — Travel
4279,2497.93,Travel,lucas plc,76,F,Very High,2,Very High Spend — Travel
4316,42.95,Restaurant,cook miller,33,M,Low,0,Low Spend — Restaurant
4324,2719.46,Travel,gray ltd,75,M,Very High,2,Very High Spend — Travel
4368,971.35,Electronics,jackson plc,77,M,High,3,High Spend — Electronics
4373,166.92,Electronics,young plc,69,M,Low,3,Low Spend — Electronics
4387,119.57,Cosmetic,preston group,41,F,Low,1,Low Spend — Market
4413,28.77,Clothing,byrd castro,38,F,Low,1,Low Spend — Market
4427,215.7,Clothing,owens huff,71,M,Mid,1,Mid Spend — Market
4430,759.65,Electronics,gonzalez reyes and white,21,M,High,3,High Spend — Electronics
4437,640.58,Electronics,ward mccarthy,38,M,High,3,High Spend — Electronics
4446,489.29,Market,bolton inc,26,M,High,1,High Spend — Market
4458,1497.15,Travel,bautista sweeney and roman,70,F,Very High,2,Very High Spend — Travel
4516,215.92,Clothing,juarez spencer and maxwell,45,F,Mid,1,Mid Spend — Market
4533,89.41,Clothing,lewis wilson,74,M,Low,1,Low Spend — Market
4553,57.12,Restaurant,bowman lindsey and gonzalez,48,F,Low,0,Low Spend — Restaurant
4577,733.13,Electronics,rowe wagner,66,M,High,3,High Spend — Electronics
4634,205.45,Electronics,sharp inc,23,F,Mid,3,Mid Spend — Electronics
4652,941.57,Electronics,small jennings and gonzalez,38,M,High,3,High Spend — Electronics
4656,697.16,Travel,aguirre group,58,M,High,2,High Spend — Travel
4694,128.8,Market,matthews ltd,74,F,Low,1,Low Spend — Market
4718,2871.87,Travel,lester harrison,41,M,Very High,2,Very High Spend — Travel
4751,347.54,Market,lloyd inc,23,M,Mid,1,Mid Spend — Market
4793,48.86,Restaurant,wilson brooks and evans,43,Unknown,Low,0,Low Spend — Restaurant
4799,269.81,Clothing,miller white and cohen,67,M,Mid,1,Mid Spend — Market
4800,189.24,Electronics,hall llc,53,M,Mid,3,Mid Spend — Electronics
4821,396.07,Electronics,anderson ibarra and young,76,M,Mid,3,Mid Spend — Electronics
4823,2345.58,Travel,francis flores,63,M,Very High,2,Very High Spend — Travel
4838,180.52,Clothing,acevedo king,59,M,Low,1,Low Spend — Market
4842,792.04,Electronics,brown hall and smith,60,M,High,3,High Spend — Electronics
4854,297.65,Clothing,brewer ltd,22,F,Mid,1,Mid Spend — Market
4876,190.71,Clothing,anderson brown,64,F,Mid,1,Mid Spend — Market
4905,80.36,Cosmetic,archer ryan,26,M,Low,1,Low Spend — Market
4912,124.85,Cosmetic,santos horton,49,M,Low,1,Low Spend — Market
4926,405.84,Market,watson ltd,20,M,Mid,1,Mid Spend — Market
4939,2373.68,Travel,snyder group,39,F,Very High,2,Very High Spend — Travel
4948,111.6,Clothing,lewis rosario,49,F,Low,1,Low Spend — Market
4987,168.66,Clothing,barber miller and henderson,42,M,Low,1,Low Spend — Market
5003,465.45,Market,perkins smith,51,M,Mid,1,Mid Spend — Market
5006,161.7,Cosmetic,carr plc,66,F,Low,1,Low Spend — Market
5018,409.39,Market,moore brown and bridges,62,F,Mid,1,Mid Spend — Market
5028,18.14,Restaurant,bray oliver,67,M,Low,0,Low Spend — Restaurant
5036,575.53,Electronics,parsons inc,28,M,High,3,High Spend — Electronics
5045,217.49,Clothing,robles scott and davis,20,M,Mid,1,Mid Spend — Market
5060,262.17,Travel,beard rogers,36,M,Mid,2,Mid Spend — Travel
5068,887.99,Electronics,rodriguez villa and waters,50,M,High,3,High Spend — Electronics
5106,210.32,Market,brown brown,37,F,Mid,1,Mid Spend — Market
5145,14.42,Restaurant,gibson beck,27,M,Low,0,Low Spend — Restaurant
5147,256.94,Market,romero gonzalez,68,F,Mid,1,Mid Spend — Market
5155,388.21,Market,wright and sons,69,M,Mid,1,Mid Spend — Market
5164,28.46,Restaurant,foster anderson and green,52,F,Low,0,Low Spend — Restaurant
5234,31.98,Cosmetic,levine jackson,39,M,Low,1,Low Spend — Market
5266,470.87,Market,jefferson martin,75,M,High,1,High Spend — Market
5275,1000.94,Travel,ortega bradford and figueroa,64,M,High,2,High Spend — Travel
5277,49.75,Market,mcgrath cooper,65,F,Low,1,Low Spend — Market
5303,250.21,Market,perez group,48,M,Mid,1,Mid Spend — Market
5330,163.1,Cosmetic,snyder byrd and mitchell,73,M,Low,1,Low Spend — Market
5385,87.19,Market,frazier hoffman,73,F,Low,1,Low Spend — Market
5403,356.81,Market,crosby caldwell,24,Unknown,Mid,1,Mid Spend — Market
5424,1484.57,Travel,hicks dudley and howard,61,F,Very High,2,Very High Spend — Travel
5463,101.94,Cosmetic,smith odonnell and turner,50,M,Low,1,Low Spend — Market
5467,1524.12,Travel,jones and sons,53,F,Very High,2,Very High Spend — Travel
5476,476.85,Electronics,gray plc,76,Unknown,High,3,High Spend — Electronics
5477,131.19,Cosmetic,perry hill and nguyen,34,M,Low,1,Low Spend — Market
5486,1439.15,Travel,boyd reilly and torres,22,M,Very High,2,Very High Spend — Travel
5498,209.51,Electronics,rocha ware and bautista,47,F,Mid,3,Mid Spend — Electronics
5512,1120.23,Travel,ross rhodes,28,F,High,2,High Spend — Travel
5521,289.3,Clothing,espinoza baldwin,76,Unknown,Mid,1,Mid Spend — Market
5526,169.51,Market,weber livingston,71,M,Low,1,Low Spend — Market
5527,963.51,Electronics,owens group,62,F,High,3,High Spend — Electronics
5553,200.47,Market,peterson franco,31,M,Mid,1,Mid Spend — Market
5565,2774.31,Travel,thompson randolph,57,M,Very High,2,Very High Spend — Travel
5581,21.47,Cosmetic,barr sims,62,M,Low,1,Low Spend — Market
5584,81.76,Cosmetic,thomas inc,50,F,Low,1,Low Spend — Market
5595,2574.32,Travel,meza armstrong and combs,49,F,Very High,2,Very High Spend — Travel
5604,281.2,Market,gutierrez terrell,71,F,Mid,1,Mid Spend — Market
5605,2370.18,Travel,skinner reyes,21,M,Very High,2,Very High Spend — Travel
5659,185.06,Clothing,smith brady,63,F,Mid,1,Mid Spend — Market
5661,289.18,Clothing,banks oneal,55,M,Mid,1,Mid Spend — Market
5667,22.41,Market,paul wall and johnson,34,F,Low,1,Low Spend — Market
5668,74.77,Restaurant,wallace ross,45,F,Low,0,Low Spend — Restaurant
5680,496.76,Market,harris plc,45,F,High,1,High Spend — Market
5707,955.38,Electronics,smith lyons and mcgrath,38,F,High,3,High Spend — Electronics
5725,65.14,Restaurant,jenkins mcdowell,64,F,Low,0,Low Spend — Restaurant
5744,358.22,Electronics,young hampton,74,M,Mid,3,Mid Spend — Electronics
5786,775.66,Electronics,brown goodman,56,M,High,3,High Spend — Electronics
5793,538.53,Electronics,wood valenzuela,30,M,High,3,High Spend — Electronics
5812,213.59,Clothing,pugh inc,74,F,Mid,1,Mid Spend — Market
5852,326.67,Market,lloyd plc,29,M,Mid,1,Mid Spend — Market
5871,1029.27,Travel,oliver munoz and hampton,77,F,High,2,High Spend — Travel
5914,64.84,Restaurant,stevens inc,38,Unknown,Low,0,Low Spend — Restaurant
5938,79.32,Market,baker frazier and smith,26,M,Low,1,Low Spend — Market
6081,2086.74,Travel,mooney ortiz and bell,47,M,Very High,2,Very High Spend — Travel
6133,46.47,Market,jones porter and rangel,33,M,Low,1,Low Spend — Market
6173,14.99,Restaurant,ruiz thomas,49,F,Low,0,Low Spend — Restaurant
6203,60.04,Restaurant,young martinez and brooks,46,F,Low,0,Low Spend — Restaurant
6206,647.98,Electronics,miller douglas,31,M,High,3,High Spend — Electronics
6209,14.36,Cosmetic,watson plc,61,M,Low,1,Low Spend — Market
6222,2274.4,Travel,shannon cardenas and harrison,34,F,Very High,2,Very High Spend — Travel
6225,38.7,Restaurant,brady walker,71,F,Low,0,Low Spend — Restaurant
6229,2796.74,Travel,parker bishop,65,F,Very High,2,Very High Spend — Travel
6284,707.12,Electronics,sanchez and sons,27,M,High,3,High Spend — Electronics
6296,54.28,Restaurant,roach vega,73,F,Low,0,Low Spend — Restaurant
6309,80.97,Restaurant,jackson llc,23,Unknown,Low,0,Low Spend — Restaurant
6332,14.67,Market,smith marquez and douglas,76,F,Low,1,Low Spend — Market
6361,172.89,Market,harding robinson,49,M,Low,1,Low Spend — Market
6375,92.11,Clothing,martin fox and austin,32,M,Low,1,Low Spend — Market
6376,483.97,Electronics,vega inc,68,F,High,3,High Spend — Electronics
6395,92.97,Restaurant,smith plc,34,F,Low,0,Low Spend — Restaurant
6434,15.68,Restaurant,boyle plc,41,M,Low,0,Low Spend — Restaurant
6447,236.25,Travel,harrison plc,67,F,Mid,2,Mid Spend — Travel
6461,188.95,Clothing,bird hernandez,50,F,Mid,1,Mid Spend — Market
6463,12.11,Restaurant,olson morris and riggs,34,F,Low,0,Low Spend — Restaurant
6466,62.51,Restaurant,howell copeland,76,M,Low,0,Low Spend — Restaurant
6469,96.9,Cosmetic,bennett phillips,41,M,Low,1,Low Spend — Market
6510,119.6,Clothing,schroeder mayer and ruiz,48,M,Low,1,Low Spend — Market
6525,774.24,Electronics,king parker and perez,66,F,High,3,High Spend — Electronics
6526,344.11,Market,cook estrada and anderson,56,F,Mid,1,Mid Spend — Market
6535,78.58,Restaurant,kramer rodriguez and wilkerson,25,M,Low,0,Low Spend — Restaurant
6559,24.96,Restaurant,tucker curry,22,F,Low,0,Low Spend — Restaurant
6572,203.75,Market,mitchell lewis,45,M,Mid,1,Mid Spend — Market
6590,18.69,Market,stout hall and garrison,71,M,Low,1,Low Spend — Market
6597,68.61,Restaurant,mullen plc,35,F,Low,0,Low Spend — Restaurant
6602,2865.86,Travel,hicks ltd,56,Unknown,Very High,2,Very High Spend — Travel
6619,735.02,Electronics,mitchell mccormick and diaz,63,F,High,3,High Spend — Electronics
6659,2845.25,Travel,hogan group,63,F,Very High,2,Very High Spend — Travel
6660,102.31,Clothing,baker robertson,49,M,Low,1,Low Spend — Market
6662,288.75,Clothing,douglas lucas and chapman,28,M,Mid,1,Mid Spend — Market
6685,34.14,Market,ingram lopez,64,M,Low,1,Low Spend — Market
6734,125.21,Cosmetic,christensen group,65,F,Low,1,Low Spend — Market
6749,145.15,Cosmetic,jordan llc,72,M,Low,1,Low Spend — Market
6794,478.69,Electronics,underwood brewer,74,M,High,3,High Spend — Electronics
6800,198.14,Clothing,johnson tran,75,Unknown,Mid,1,Mid Spend — Market
6806,59.39,Cosmetic,smith riley,72,M,Low,1,Low Spend — Market
6832,264.56,Clothing,moore howard and sosa,76,F,Mid,1,Mid Spend — Market
6858,47.78,Clothing,dean group,71,F,Low,1,Low Spend — Market
6870,84.27,Cosmetic,morris davis and pratt,41,Unknown,Low,1,Low Spend — Market
6887,282.72,Electronics,simpson wolf,46,Unknown,Mid,3,Mid Spend — Electronics
6905,366.56,Market,berry reeves and best,44,M,Mid,1,Mid Spend — Market
6935,17.06,Cosmetic,ellis and sons,65,F,Low,1,Low Spend — Market
6994,79.06,Restaurant,black williams and lee,70,F,Low,0,Low Spend — Restaurant
6998,1935.91,Travel,brown inc,52,F,Very High,2,Very High Spend — Travel
7010,610.69,Electronics,larson carpenter,22,Unknown,High,3,High Spend — Electronics
7015,47.16,Restaurant,burns barron,57,M,Low,0,Low Spend — Restaurant
7020,1550.34,Travel,davis robinson,43,Unknown,Very High,2,Very High Spend — Travel
7065,223.72,Clothing,lopez kline,45,M,Mid,1,Mid Spend — Market
7083,692.24,Electronics,williams evans,45,F,High,3,High Spend — Electronics
7099,2964.13,Travel,roberts ltd,50,F,Very High,2,Very High Spend — Travel
7101,105.29,Cosmetic,martin lee,62,Unknown,Low,1,Low Spend — Market
7117,245.09,Clothing,payne clark,41,Unknown,Mid,1,Mid Spend — Market
7139,117.08,Market,weaver hood,72,M,Low,1,Low Spend — Market
7150,23.98,Restaurant,king and sons,67,F,Low,0,Low Spend — Restaurant
7159,78.96,Restaurant,hall morrison and armstrong,55,Unknown,Low,0,Low Spend — Restaurant
7167,2337.8,Travel,grant moreno,24,F,Very High,2,Very High Spend — Travel
7204,175.27,Clothing,combs webster,67,F,Low,1,Low Spend — Market
7219,21.95,Market,marks hanson,35,F,Low,1,Low Spend — Market
7230,227.56,Electronics,doyle reed,53,M,Mid,3,Mid Spend — Electronics
7238,22.11,Restaurant,hudson clark,31,F,Low,0,Low Spend — Restaurant
7248,147.04,Cosmetic,ferguson hogan and galloway,55,M,Low,1,Low Spend — Market
7268,25.53,Restaurant,herman humphrey and ramirez,77,F,Low,0,Low Spend — Restaurant
7309,91.01,Cosmetic,garcia potts,35,F,Low,1,Low Spend — Market
7312,2711.24,Travel,green plc,71,M,Very High,2,Very High Spend — Travel
7344,166.07,Clothing,herrera group,60,M,Low,1,Low Spend — Market
7366,484.08,Market,gilbert alexander and yoder,68,F,High,1,High Spend — Market
7391,623.63,Electronics,tran thompson,24,M,High,3,High Spend — Electronics
7398,82.3,Restaurant,briggs ellis and williamson,36,M,Low,0,Low Spend — Restaurant
7399,83.06,Restaurant,moore johnson and dominguez,57,F,Low,0,Low Spend — Restaurant
7401,1695.09,Travel,walker simmons,28,Unknown,Very High,2,Very High Spend — Travel
7429,20.32,Restaurant,parker leonard and murphy,51,F,Low,0,Low Spend — Restaurant
